	Si+	C_7H_7+	C_6H_10NO+	C_6H_10N_3+
	27.9727	91.0573	112.0785	124.0776
1551.5648	8.00489	1215.54	16656.1	8257.85	
1554.8416	10.0055	1136.44	16353.5	8340.41	
1558.1184	14.0197	1245.76	16573	8210.08	
1561.3952	6.00256	1282.52	16374.3	8365.82	
1564.6720	2.00061	1297.77	16128.6	8482.58	
1567.9488	7.00278	1288	16534	8656.46	
1571.2256	12.0088	1222.22	16772	8278.84	
1574.5024	7.00534	1237.9	16583.8	8305.8	
1577.7792	9.00577	1242.68	16341.7	8312.51	
1581.0560	5.00412	1228.72	16706.4	8506.47	
1584.3328	13.007	1250.93	16446	8446.41	
1587.6096	9.00632	1192.44	16353.4	8405.02	
1590.8864	6.0033	1251.91	16416.5	8432.09	
1594.1632	9.00467	1198.97	16782.6	8562	
1597.4400	7.00321	1254.32	16590	8516.51	
1600.7168	3.00156	1152.16	16142.8	8270.47	
1603.9936	11.0104	1178.4	16268.5	8425.77	
1607.2704	12.011	1277.88	16596.6	8423.1	
1610.5472	8.00489	1217.73	16538	8333.71	
1613.8240	10.0061	1213.48	16833.6	8308.89	
1617.1008	8.0044	1211.19	16563.1	8590.02	
1620.3776	11.0091	1185.16	16676.9	8626.53	
1623.6544	11.0084	1206.4	16517.2	8498.81	
1626.9312	9.00632	1193.66	16218.8	8231.74	
1630.2080	9.00376	1178.21	16549.5	8319.31	
1633.4848	11.0097	1262.18	16801.1	8488.1	
1636.7616	7.00748	1181.75	16814.8	8516.54	
1640.0384	12.0073	1235.88	16279.1	8438.16	
1643.3152	10.0092	1209.39	16548.7	8332.16	
1646.5920	13.0131	1266.93	16626	8450.58	
1649.8688	8.0044	1232.37	16585	8368.75	
1653.1456	5.0026	1093.19	16622.2	8344.14	
1656.4224	11.0077	1159.97	16772.5	8660.55	
1659.6992	9.00632	1186.46	16658	8392.35	
1662.9760	9.00797	1172.42	16329.1	8487.57	
1666.2528	12.0095	1232.85	16631	8283.13	
1669.5296	12.0116	1132.47	16563.1	8483.2	
1672.8064	13.0147	1176.03	16371.6	8406.92	
1676.0832	12.0103	1164.08	16329.4	8274.06	
1679.3600	16.0186	1123.78	16593.1	8481.2	
1682.6368	15.0151	1157.97	16796.7	8376.27	
1685.9136	9.00687	1154.15	16544.7	8312.4	
1689.1904	9.00687	1178.09	16270.5	8453.46	
1692.4672	11.0104	1198.43	16160.8	8416.28	
1695.7440	12.0139	1188.89	16548.1	8500.4	
1699.0208	14.0128	1224.65	16476.1	8388	
1702.2976	17.0192	1096.83	16625.7	8364.86	
1705.5744	16.0156	1108.19	16743.1	8368.69	
1708.8512	14.0154	1130.01	16589.4	8387.19	
1712.1280	11.0084	1153.16	16447.3	8398.61	
1715.4048	12.0103	1158.56	16529.8	8231.25	
1718.6816	8.00489	1131.27	16424.9	8471.15	
1721.9584	11.0071	1217.8	16290.3	8555.41	
1725.2352	16.0156	1164.46	16349	8471.5	
1728.5120	13.0131	1183.06	16424.3	8400.94	
1731.7888	14.0103	1210.89	16298	8453.16	
1735.0656	10.0092	1094.79	16758.6	8399.71	
1738.3424	22.0255	1189.22	16371.2	8496.21	
1741.6192	19.025	1169.37	16607.6	8428.95	
1744.8960	5.00229	1213.21	16779.9	8526.29	
1748.1728	12.0125	1227.21	16608.1	8528.52	
1751.4496	7.00235	1217.12	16561.2	8263.07	
1754.7264	10.0067	1227.58	16495.5	8416.26	
1758.0032	11.0064	1178.8	16323.7	8503.06	
1761.2800	9.00522	1208.39	16359.9	8480.45	
1764.5568	11.0094	1232.21	16198.4	8243.44	
1767.8336	11.0097	1157.58	16338.5	8361.77	
1771.1104	16.0127	1138.72	16186.9	8429.99	
1774.3872	7.00406	1187.43	16602.4	8395.61	
1777.6640	9.00742	1122.07	16445.8	8464.73	
1780.9408	9.00589	1235.77	16730	8427.32	
1784.2176	11.0097	1210.46	16712.9	8393.95	
1787.4944	16.0166	1141.8	16418	8298.21	
1790.7712	11.0091	1281.21	16278.8	8614.58	
